index_code,index_mkt,idx_name
000985,SH,中证全指
000300,SH,沪深300
000905,SH,中证500
000852,SH,中证1000
000016,SH,上证50
000922,SH,中证红利
000991,SH,全指医药
000990,SH,全指消费
000993,SH,全指信息
000827,SH,中证环保
000001,SH,上证指数
000992,SH,全指金融
399006,SZ,创业板指
399005,SZ,中小板指
399812,SZ,中证养老
399971,SZ,中证传媒
399975,SZ,证券公司
399001,SZ,深圳成指
