cal_date,price,pe1,pb1,pe2,pb2,pe3,pb3,pe4,pb4
20201201,6628.5643,9.64,1.1,11.88,1.24,15.44,1.41,26.16,1.97
20201202,6615.7552,9.61,1.1,11.88,1.24,15.46,1.4,26.5,2.0
20201203,6602.4012,9.57,1.09,11.91,1.24,15.36,1.4,26.52,2.0
20201204,6519.952,9.46,1.08,11.73,1.23,15.24,1.39,26.32,1.98
20201207,6395.3961,9.29,1.06,11.52,1.2,14.9,1.37,25.93,1.95
