cal_date,price,pe1,pb1,pe2,pb2,pe3,pb3,pe4,pb4
20201201,2698.4431,49.9,7.16,45.98,4.87,65.37,6.92,73.06,8.36
20201202,2682.9718,49.61,7.12,46.0,4.87,64.48,6.91,72.95,8.36
20201203,2712.5177,50.25,7.21,46.27,4.89,65.59,6.88,73.77,8.49
20201204,2730.8373,50.63,7.27,46.44,4.88,66.77,6.93,74.19,8.56
20201207,2726.4828,50.68,7.28,46.39,4.85,65.93,7.08,74.04,8.56
