,price,pe1,pb1,pe2,pb2,pe3,pb3,pe4,pb4
2005-01-04,3025.42,13.07,2.09,13.2,1.87,15.22,2.05,17.36,2.25
2005-01-05,3052.86,13.16,2.11,13.31,1.89,15.7,2.08,17.57,2.27
2005-01-06,3028.73,13.0,2.08,13.14,1.87,15.54,2.07,17.46,2.24
2005-01-07,3035.59,12.98,2.08,13.17,1.88,15.63,2.09,17.43,2.24
2005-01-10,3062.73,13.12,2.1,13.33,1.9,15.77,2.08,17.62,2.26
2005-01-11,3069.57,13.14,2.1,13.37,1.91,15.72,2.09,17.65,2.26
2005-01-12,3064.34,13.13,2.1,13.37,1.91,16.27,2.09,17.62,2.26
2005-01-13,3074.36,13.15,2.1,13.38,1.91,16.22,2.1,17.65,2.26
2005-01-14,3055.52,13.07,2.09,13.29,1.9,16.06,2.07,17.52,2.25
2005-01-17,2999.02,12.82,2.05,12.98,1.85,15.47,1.98,17.13,2.21
2005-01-18,3022.41,12.91,2.07,13.09,1.87,15.53,1.97,17.26,2.23
2005-01-19,3001.24,12.83,2.05,13.01,1.86,15.5,1.95,17.13,2.21
2005-01-20,2969.12,12.69,2.03,12.85,1.83,15.45,1.94,16.88,2.18
2005-01-21,3055.81,13.06,2.09,13.3,1.89,15.85,1.99,17.22,2.24
2005-01-24,3111.4,13.3,2.17,13.24,1.98,15.68,2.22,16.36,2.47
2005-01-25,3141.86,13.44,2.2,13.33,1.99,15.68,2.23,16.46,2.49
2005-01-26,3122.62,13.37,2.18,13.26,1.98,15.73,2.19,16.36,2.48
2005-01-27,3070.58,13.13,2.15,13.02,1.94,15.42,2.09,16.03,2.43
2005-01-28,3065.61,13.1,2.14,12.96,1.93,15.35,2.07,15.98,2.42
2005-01-31,3045.48,13.09,2.12,12.95,1.9,14.93,2.07,15.78,2.39
2005-02-01,3066.23,13.09,2.13,12.93,1.91,14.96,2.05,15.8,2.41
2005-02-02,3221.21,13.79,2.24,13.68,2.02,15.68,2.17,16.68,2.55
2005-02-03,3196.55,13.68,2.22,13.59,2.0,15.6,2.11,16.52,2.52
2005-02-04,3266.01,13.91,2.26,13.86,2.04,15.69,2.2,16.86,2.56
2005-02-16,3283.88,14.01,2.28,13.94,2.05,15.73,2.21,16.95,2.58
2005-02-17,3264.34,13.91,2.26,13.87,2.05,15.89,2.21,16.86,2.57
2005-02-18,3233.57,13.77,2.24,13.68,2.01,15.47,2.18,16.68,2.54
2005-02-21,3298.47,14.07,2.29,13.95,2.05,15.93,2.21,17.02,2.58
2005-02-22,3382.98,14.37,2.34,14.25,2.1,16.38,2.27,17.35,2.64
2005-02-23,3383.06,14.36,2.34,14.22,2.1,16.42,2.3,17.39,2.64
2005-02-24,3379.49,14.36,2.34,14.26,2.1,16.43,2.27,17.36,2.66
2005-02-25,3385.44,14.42,2.35,14.27,2.11,16.62,2.27,17.44,2.67
2005-02-28,3376.32,14.39,2.35,14.19,2.09,16.93,2.22,17.32,2.65
2005-03-01,3348.45,14.23,2.33,14.0,2.07,16.92,2.2,17.2,2.64
2005-03-02,3301.76,14.0,2.29,13.71,2.03,16.64,2.17,16.98,2.6
2005-03-03,3334.46,14.1,2.3,13.84,2.05,16.61,2.15,17.08,2.62
2005-03-04,3332.15,13.87,2.3,13.72,2.05,16.48,2.16,17.02,2.61
2005-03-07,3368.67,13.99,2.32,13.81,2.06,16.55,2.18,17.18,2.62
2005-03-08,3451.82,14.31,2.37,14.08,2.09,16.69,2.22,17.5,2.69
2005-03-09,3464.66,14.34,2.37,14.1,2.1,16.74,2.23,17.53,2.69
2005-03-10,3373.54,13.97,2.31,13.68,2.04,16.08,2.18,17.11,2.62
2005-03-11,3408.84,14.06,2.33,13.67,2.03,15.94,2.2,17.17,2.64
2005-03-14,3420.55,14.15,2.34,13.67,2.03,15.88,2.23,17.27,2.65
2005-03-15,3366.68,13.88,2.3,13.39,2.0,15.72,2.2,16.98,2.59
2005-03-16,3341.12,13.76,2.28,13.28,1.98,15.3,2.18,16.81,2.57
2005-03-17,3296.17,13.55,2.25,13.04,1.95,15.43,2.13,16.64,2.54
2005-03-18,3255.28,13.36,2.21,12.91,1.93,15.02,2.16,16.38,2.49
2005-03-21,3276.52,13.39,2.22,12.95,1.94,15.15,2.17,16.43,2.5
2005-03-22,3249.5,13.05,2.18,12.46,1.88,14.35,2.03,16.08,2.45
2005-03-23,3220.07,12.95,2.17,12.42,1.88,14.76,2.03,16.01,2.45
2005-03-24,3214.98,12.93,2.17,12.54,1.91,14.76,2.06,16.03,2.44
2005-03-25,3214.85,12.96,2.17,12.54,1.9,14.8,2.06,16.03,2.43
2005-03-28,3213.31,12.95,2.17,12.49,1.89,14.68,2.03,15.91,2.43
2005-03-29,3208.44,12.89,2.16,12.42,1.88,14.73,2.0,15.76,2.41
2005-03-30,3137.46,12.6,2.12,12.18,1.85,14.66,2.01,15.45,2.36
2005-03-31,3170.35,12.69,2.13,12.27,1.86,14.63,2.03,15.56,2.39
2005-04-01,3284.95,13.22,2.22,12.75,1.93,15.08,2.1,16.2,2.49
2005-04-04,3244.25,13.04,2.19,12.5,1.9,14.72,2.05,15.91,2.45
2005-04-05,3244.93,13.03,2.19,12.4,1.88,14.65,2.04,15.83,2.44
2005-04-06,3312.64,13.32,2.23,12.58,1.9,14.92,2.06,16.15,2.49
2005-04-07,3343.77,13.39,2.24,12.74,1.92,15.2,2.1,16.32,2.51
2005-04-08,3397.32,13.63,2.28,12.94,1.96,15.43,2.15,16.63,2.55
2005-04-11,3357.03,13.5,2.21,12.82,1.93,14.61,2.1,16.61,2.48
2005-04-12,3310.81,12.79,2.15,12.45,1.89,14.44,2.09,16.28,2.41
2005-04-13,3371.49,13.05,2.19,12.76,1.94,14.71,2.13,16.58,2.46
2005-04-14,3324.93,12.89,2.16,12.61,1.9,14.57,2.12,16.33,2.4
2005-04-15,3304.3,12.71,2.12,12.39,1.86,14.14,2.1,16.04,2.36
2005-04-18,3261.32,12.61,2.1,12.28,1.84,14.07,2.05,15.9,2.31
2005-04-19,3267.54,12.58,2.09,12.35,1.83,14.45,2.07,16.32,2.31
2005-04-20,3222.53,12.37,2.05,12.17,1.8,14.04,2.01,16.01,2.26
2005-04-21,3207.56,12.31,2.04,11.88,1.77,13.86,2.01,15.94,2.26
2005-04-22,3176.92,12.4,2.02,12.05,1.74,13.99,2.01,16.0,2.21
2005-04-25,3160.62,12.05,2.0,11.73,1.71,13.74,2.01,15.78,2.18
2005-04-26,3180.18,11.8,1.98,11.71,1.72,13.92,2.03,15.84,2.17
2005-04-27,3163.01,11.71,1.97,11.55,1.69,13.88,1.99,15.66,2.14
2005-04-28,3204.73,12.32,2.01,12.12,1.73,14.15,2.08,15.9,2.18
2005-04-29,3156.67,12.15,1.97,12.07,1.71,14.05,2.06,16.03,2.15
2005-05-09,3031.49,12.02,1.92,11.96,1.67,13.69,2.02,14.28,2.09
2005-05-10,3067.98,12.09,1.93,12.03,1.68,13.46,2.01,14.31,2.1
2005-05-11,3000.6,11.85,1.9,11.85,1.66,13.17,1.97,14.13,2.07
2005-05-12,2930.79,11.57,1.85,11.55,1.62,12.79,1.86,13.78,2.02
2005-05-13,2921.5,11.56,1.85,11.6,1.63,12.94,1.86,13.73,2.02
2005-05-16,2889.01,11.42,1.83,11.39,1.61,12.84,1.87,13.49,1.99
2005-05-17,2903.99,11.46,1.84,11.47,1.62,12.62,1.88,13.55,2.0
2005-05-18,2883.77,11.39,1.83,11.43,1.63,12.69,1.88,13.55,2.01
2005-05-19,2898.29,11.36,1.84,11.38,1.63,12.54,1.88,13.52,2.01
2005-05-20,2900.83,11.35,1.84,11.33,1.63,12.83,1.89,13.49,2.01
2005-05-23,2840.97,11.22,1.83,11.25,1.63,13.02,1.85,13.59,2.15
2005-05-24,2869.58,11.29,1.84,11.29,1.65,12.58,1.87,13.68,2.16
2005-05-25,2869.65,11.26,1.84,11.3,1.65,12.72,1.87,13.68,2.16
2005-05-26,2839.55,11.16,1.82,11.19,1.63,12.31,1.83,13.49,2.14
2005-05-27,2806.11,11.03,1.81,11.09,1.63,12.13,1.77,13.26,2.11
2005-05-30,2794.2,11.04,1.81,11.12,1.63,12.17,1.76,13.32,2.11
2005-05-31,2801.66,11.04,1.81,11.1,1.63,12.16,1.76,13.29,2.1
2005-06-01,2716.78,10.72,1.76,10.84,1.59,11.37,1.72,12.86,2.03
2005-06-02,2630.61,10.48,1.72,10.65,1.57,10.88,1.66,12.52,1.97
2005-06-03,2627.02,10.48,1.72,10.63,1.56,11.07,1.66,12.49,1.97
2005-06-06,2729.2,10.84,1.78,10.92,1.6,11.38,1.73,12.87,2.04
2005-06-07,2709.48,10.8,1.77,10.91,1.6,11.31,1.72,12.86,2.04
2005-06-08,2936.57,11.73,1.93,11.85,1.73,12.3,1.88,13.94,2.23
2005-06-09,2951.14,11.79,1.94,11.9,1.75,12.64,1.87,14.1,2.26
2005-06-10,2882.27,11.49,1.89,11.55,1.7,12.04,1.83,13.69,2.2
2005-06-13,2879.77,11.47,1.88,11.57,1.71,11.89,1.79,13.67,2.19
2005-06-14,2853.52,11.33,1.86,11.47,1.69,11.83,1.78,13.52,2.16
2005-06-15,2795.06,11.07,1.82,11.2,1.64,11.56,1.74,13.18,2.11
2005-06-16,2823.81,11.16,1.83,11.28,1.66,11.86,1.76,13.3,2.13
2005-06-17,2790.64,11.12,1.83,11.28,1.66,11.88,1.76,13.29,2.11
2005-06-20,2868.04,11.53,1.89,11.69,1.72,12.47,1.82,13.94,2.22
2005-06-21,2829.62,11.38,1.87,11.53,1.7,12.44,1.81,13.8,2.2
2005-06-22,2842.46,11.43,1.88,11.54,1.71,12.63,1.83,13.95,2.23
2005-06-23,2839.51,11.37,1.88,11.45,1.69,12.51,1.87,13.83,2.21
2005-06-24,2848.34,11.4,1.88,11.49,1.69,12.35,1.86,13.87,2.22
2005-06-27,2914.97,11.64,1.92,11.72,1.73,12.55,1.9,14.18,2.27
2005-06-28,2870.24,11.46,1.89,11.55,1.7,12.49,1.88,13.93,2.22
2005-06-29,2847.8,11.32,1.88,11.43,1.69,12.5,1.81,13.75,2.23
2005-06-30,2760.23,10.94,1.82,11.09,1.64,12.22,1.81,13.42,2.16
2005-07-01,2728.72,10.78,1.79,10.9,1.61,11.96,1.79,13.19,2.13
2005-07-04,2737.22,10.8,1.8,10.85,1.6,11.4,1.78,13.22,2.14
2005-07-05,2716.56,10.71,1.78,10.76,1.58,11.39,1.79,13.14,2.12
2005-07-06,2696.5,10.62,1.77,10.72,1.58,11.23,1.79,13.0,2.1
2005-07-07,2697.94,10.65,1.77,10.76,1.58,11.25,1.8,13.05,2.11
2005-07-08,2650.61,10.44,1.74,10.57,1.55,11.07,1.77,12.88,2.08
2005-07-11,2651.8,10.4,1.73,10.52,1.54,10.96,1.76,12.86,2.07
2005-07-12,2742.86,10.74,1.78,10.81,1.59,11.25,1.79,13.28,2.15
2005-07-13,2734.37,10.72,1.78,10.76,1.58,11.09,1.79,13.17,2.14
2005-07-14,2738.0,10.77,1.79,10.79,1.59,11.16,1.78,13.14,2.14
2005-07-15,2716.67,10.67,1.77,10.7,1.57,11.18,1.78,13.07,2.13
2005-07-18,2676.39,10.62,1.77,10.64,1.56,11.15,1.75,12.99,2.1
2005-07-19,2684.76,10.65,1.77,10.71,1.56,11.33,1.77,12.96,2.1
2005-07-20,2716.51,10.75,1.79,10.82,1.58,11.53,1.8,13.12,2.12
2005-07-21,2724.26,10.77,1.79,10.87,1.59,11.68,1.79,13.2,2.13
2005-07-22,2782.89,10.94,1.82,11.02,1.61,12.04,1.82,13.42,2.15
2005-07-25,2758.67,10.84,1.8,10.92,1.6,11.95,1.81,13.2,2.12
2005-07-26,2831.56,11.14,1.85,11.2,1.65,12.21,1.83,13.53,2.18
2005-07-27,2886.52,11.39,1.89,11.48,1.69,12.47,1.89,13.85,2.22
2005-07-28,2893.59,11.38,1.89,11.47,1.68,12.59,1.89,13.77,2.22
2005-07-29,2887.57,11.31,1.88,11.4,1.68,12.78,1.89,13.7,2.21
2005-08-01,2890.82,11.2,1.88,11.32,1.67,12.67,1.87,13.65,2.21
2005-08-02,2940.23,11.38,1.91,11.51,1.7,12.83,1.9,13.89,2.25
2005-08-03,2989.4,11.51,1.93,11.64,1.73,13.0,1.91,14.03,2.27
2005-08-04,2969.31,11.41,1.91,11.55,1.71,12.76,1.89,13.92,2.25
2005-08-05,3047.33,11.69,1.96,11.84,1.75,13.09,1.92,14.25,2.31
2005-08-08,3061.79,11.75,1.97,11.94,1.77,13.1,1.92,14.3,2.33
2005-08-09,3062.84,11.72,1.97,11.92,1.77,13.49,1.95,14.32,2.34
2005-08-10,3062.94,11.72,1.97,11.9,1.77,13.56,2.0,14.32,2.34
2005-08-11,3128.42,12.0,2.01,12.12,1.8,14.03,2.04,14.66,2.39
2005-08-12,3065.73,11.76,1.97,11.91,1.77,13.63,1.98,14.2,2.34
2005-08-15,3119.15,11.85,2.01,12.04,1.8,14.13,2.04,14.25,2.33
2005-08-16,3085.49,11.71,1.98,11.94,1.79,13.78,1.99,14.15,2.32
2005-08-17,3097.03,11.79,1.99,12.03,1.79,13.88,1.96,14.61,2.33
2005-08-18,3001.4,11.24,1.9,11.43,1.72,13.59,1.89,14.12,2.26
2005-08-19,3002.14,11.15,1.9,11.25,1.7,13.44,1.87,13.96,2.25
2005-08-22,3030.41,11.25,1.91,11.31,1.71,13.6,1.9,13.89,2.24
2005-08-23,2992.37,11.17,1.89,11.2,1.69,13.43,1.88,13.82,2.21
2005-08-24,2996.65,11.14,1.89,11.18,1.69,13.21,1.89,13.75,2.21
2005-08-25,2973.82,11.21,1.88,11.25,1.68,13.31,1.89,13.8,2.22
2005-08-26,2952.73,11.39,1.87,11.19,1.68,13.33,1.85,14.16,2.19
2005-08-29,2912.06,11.24,1.84,10.99,1.66,13.2,1.82,14.05,2.17
2005-08-30,2909.81,11.3,1.84,11.2,1.65,12.63,1.82,14.0,2.16
2005-08-31,2950.43,11.61,1.86,11.36,1.68,12.91,1.85,14.2,2.19
2005-09-01,3003.87,11.81,1.89,11.55,1.71,13.24,1.89,14.47,2.23
2005-09-02,3012.15,11.86,1.9,11.55,1.72,13.31,1.89,14.7,2.24
2005-09-05,3016.22,11.89,1.91,11.58,1.73,13.18,1.89,14.7,2.25
2005-09-06,2978.17,11.75,1.88,11.46,1.7,13.0,1.85,14.52,2.21
2005-09-07,3025.69,11.93,1.91,11.66,1.74,13.3,1.89,14.8,2.24
2005-09-08,3035.28,11.97,1.92,11.69,1.74,13.42,1.91,14.82,2.25
2005-09-09,3009.36,11.86,1.9,11.59,1.72,13.2,1.89,14.65,2.23
2005-09-12,2999.22,11.82,1.9,11.57,1.72,13.08,1.89,14.6,2.22
2005-09-13,3041.64,12.0,1.92,11.75,1.75,13.24,1.91,14.81,2.25
2005-09-14,3073.57,12.11,1.94,11.82,1.76,13.49,1.95,14.98,2.29
2005-09-15,3068.95,12.08,1.94,11.79,1.76,13.42,1.95,14.96,2.28
2005-09-16,3061.06,12.05,1.93,11.79,1.76,13.41,1.94,14.88,2.27
2005-09-19,3064.07,10.99,1.98,11.3,1.81,14.73,1.99,16.3,2.37
2005-09-20,3019.92,10.84,1.95,11.18,1.79,14.39,2.0,16.08,2.33
2005-09-21,2965.56,10.62,1.91,10.9,1.74,13.68,1.87,15.75,2.29
2005-09-22,2905.68,10.41,1.87,10.65,1.7,13.25,1.84,15.36,2.25
2005-09-23,2892.85,10.32,1.86,10.59,1.69,13.13,1.84,15.23,2.23
2005-09-26,2895.72,10.37,1.86,10.59,1.69,13.19,1.85,15.26,2.23
2005-09-27,2844.83,10.21,1.83,10.41,1.66,13.04,1.83,14.99,2.19
2005-09-28,2847.56,10.21,1.84,10.4,1.66,12.79,1.83,14.99,2.19
2005-09-29,2884.65,10.35,1.86,10.52,1.68,13.16,1.85,15.24,2.21
2005-09-30,2903.11,10.39,1.87,10.56,1.68,13.08,1.84,15.25,2.22
2005-10-10,2858.6,10.28,1.85,10.43,1.66,12.4,1.84,15.03,2.19
2005-10-11,2886.97,10.38,1.87,10.54,1.68,12.62,1.83,15.26,2.21
2005-10-12,2891.21,10.4,1.87,10.6,1.69,12.61,1.81,15.29,2.21
2005-10-13,2870.32,10.34,1.86,10.54,1.68,12.71,1.79,15.24,2.2
2005-10-14,2830.76,10.23,1.84,10.45,1.66,12.33,1.79,15.04,2.17
2005-10-17,2798.98,10.15,1.82,10.38,1.65,12.02,1.76,14.94,2.15
