cal_date,price,pe1,pb1,pe2,pb2,pe3,pb3,pe4,pb4
20201201,3451.9384,15.69,1.6,24.09,1.92,32.06,2.25,57.32,3.38
20201202,3449.3805,15.67,1.59,24.16,1.92,32.19,2.25,57.89,3.38
20201203,3442.1359,15.62,1.59,24.02,1.91,32.19,2.25,57.54,3.37
20201204,3444.5814,15.65,1.59,23.98,1.91,32.28,2.25,58.05,3.4
20201207,3416.6037,15.51,1.58,23.77,1.89,31.98,2.24,57.6,3.38
