cal_date,price,pe1,pb1,pe2,pb2,pe3,pb3,pe4,pb4
20201201,0.0,18.84,1.97,26.9,2.16,36.61,2.62,63.39,3.55
20201202,0.0,18.85,1.97,26.99,2.17,36.73,2.63,63.72,3.54
20201203,0.0,18.81,1.96,26.87,2.16,36.56,2.63,63.37,3.54
20201204,0.0,18.87,1.97,26.86,2.16,36.65,2.63,63.66,3.56
20201207,0.0,18.74,1.96,26.64,2.14,36.39,2.62,63.39,3.54
