,price,pe1,pb1,pe2,pb2,pe3,pb3,pe4,pb4
2013-12-26,5941.86,65.8,2.99,67.08,3.2,65.68,3.24,113.3,4.06
2013-12-27,6114.5,67.77,3.08,68.64,3.28,67.18,3.34,115.11,4.15
2013-12-30,6127.17,67.81,3.08,69.27,3.3,66.86,3.37,115.36,4.16
2013-12-31,6096.02,67.77,3.08,68.75,3.29,65.94,3.33,114.04,4.12
2014-01-02,6177.76,68.55,3.12,69.84,3.33,65.53,3.44,115.58,4.18
2014-01-03,6133.72,67.92,3.09,69.5,3.31,66.11,3.46,115.73,4.16
2014-01-06,5914.13,65.47,2.98,66.92,3.18,63.85,3.4,112.7,4.04
2014-01-07,5943.92,65.76,2.99,67.05,3.19,64.26,3.46,115.45,4.07
2014-01-08,6057.76,66.99,3.05,68.43,3.25,65.54,3.49,118.62,4.18
2014-01-09,5915.39,65.45,2.98,66.48,3.16,64.14,3.42,115.95,4.07
2014-01-10,5773.44,63.91,2.91,64.88,3.08,62.53,3.36,112.58,3.97
2014-01-13,5717.42,63.38,2.88,63.82,3.05,62.92,3.28,111.56,3.93
2014-01-14,5853.3,64.66,2.94,65.47,3.12,63.74,3.4,115.37,3.97
2014-01-15,5949.6,65.58,2.98,66.71,3.17,65.88,3.44,116.13,4.04
2014-01-16,5921.8,65.33,2.97,66.42,3.15,64.83,3.38,115.59,4.01
2014-01-17,5829.94,64.23,2.92,65.61,3.11,63.65,3.39,114.96,3.97
2014-01-20,5810.36,64.02,2.91,65.44,3.1,62.33,3.31,113.14,3.94
2014-01-21,5872.31,64.58,2.93,66.43,3.14,62.57,3.36,114.5,3.98
2014-01-22,6034.41,66.56,3.02,67.9,3.22,65.27,3.39,117.42,4.07
2014-01-23,6087.36,68.22,2.97,69.03,3.25,66.41,3.49,119.05,4.14
2014-01-24,6162.26,68.98,3.01,69.95,3.29,66.83,3.53,119.74,4.2
2014-01-27,6139.22,68.79,3.0,69.72,3.27,67.03,3.51,119.32,4.18
2014-01-28,6094.49,68.2,2.97,69.08,3.24,66.65,3.47,118.43,4.13
2014-01-29,6221.34,66.76,3.03,69.66,3.31,69.42,3.53,122.47,4.22
2014-01-30,6307.25,67.75,3.07,70.35,3.35,70.67,3.55,123.52,4.3
2014-02-07,6558.37,70.39,3.19,73.0,3.48,72.15,3.75,127.08,4.46
2014-02-10,6726.91,72.09,3.27,75.08,3.58,73.35,3.92,131.24,4.57
2014-02-11,6664.91,72.25,3.28,74.88,3.59,73.64,3.92,134.28,4.57
2014-02-12,6679.67,72.33,3.28,75.1,3.6,73.55,3.9,134.51,4.59
2014-02-13,6471.53,70.12,3.18,72.67,3.49,71.2,3.81,132.06,4.46
2014-02-14,6551.64,70.87,3.21,73.95,3.54,72.51,3.86,133.38,4.53
