,price,pe1,pb1,pe2,pb2,pe3,pb3,pe4,pb4
2020-11-09,1485.15,81.98,7.82,76.41,5.9,79.56,7.1,111.58,8.75
2020-11-10,1441.97,79.52,7.59,75.33,5.81,79.5,6.92,109.27,8.48
2020-11-11,1395.51,76.76,7.33,73.39,5.67,78.02,6.63,106.31,8.23
2020-11-12,1413.29,77.81,7.43,74.07,5.72,79.64,6.6,107.22,8.3
2020-11-13,1436.89,79.2,7.56,74.91,5.77,80.8,6.63,108.12,8.42
2020-11-16,1446.95,79.75,7.61,75.72,5.83,81.74,6.79,108.71,8.44
2020-11-17,1430.81,78.86,7.53,75.0,5.78,81.1,6.8,107.4,8.35
2020-11-18,1419.23,78.3,7.47,74.18,5.74,80.26,6.65,106.5,8.26
2020-11-19,1435.92,79.47,7.58,74.31,5.73,80.21,6.58,106.68,8.29
2020-11-20,1430.72,78.93,7.53,74.33,5.74,81.79,6.53,106.48,8.28
2020-11-23,1418.1,78.1,7.45,73.89,5.71,78.57,6.45,105.51,8.19
2020-11-24,1412.75,77.77,7.42,73.86,5.71,78.97,6.46,105.82,8.19
