cal_date,price,pe1,pb1,pe2,pb2,pe3,pb3,pe4,pb4
20201201,9315.1982,28.9,3.97,33.48,3.62,44.52,5.19,53.52,7.64
20201202,9297.9738,28.8,3.96,33.46,3.61,44.22,5.18,53.53,7.63
20201203,9387.9937,29.0,3.99,33.64,3.63,44.58,5.17,54.49,7.74
20201204,9434.8972,29.16,4.01,33.67,3.62,45.09,5.21,55.04,7.86
20201207,9360.975,28.96,3.98,33.25,3.58,44.2,5.15,54.59,7.8
