,price,pe1,pb1,pe2,pb2,pe3,pb3,pe4,pb4
2009-07-03,1700.68,153.36,3.46,77.26,3.38,50.15,3.53,147.06,4.36
2009-07-06,1708.1,153.5,3.46,77.29,3.38,50.75,3.55,146.14,4.36
2009-07-07,1711.66,154.25,3.48,77.65,3.4,51.36,3.57,146.83,4.38
2009-07-08,1723.42,155.16,3.5,78.11,3.44,52.4,3.54,148.26,4.42
2009-07-09,1770.0,159.65,3.6,80.39,3.52,52.47,3.62,152.88,4.58
2009-07-10,1772.79,160.52,3.62,80.4,3.53,52.67,3.64,151.33,4.56
2009-07-13,1804.01,162.76,3.67,81.72,3.58,53.65,3.71,152.42,4.66
2009-07-14,1825.48,164.71,3.72,82.87,3.63,53.65,3.71,153.95,4.72
2009-07-15,1833.32,167.05,3.73,83.27,3.65,48.53,3.69,98.06,4.72
2009-07-16,1823.82,166.5,3.72,82.41,3.64,48.63,3.77,98.45,4.69
2009-07-17,1854.39,168.55,3.76,83.34,3.69,49.15,3.81,100.53,4.77
2009-07-20,1893.01,172.22,3.84,85.99,3.76,50.22,3.82,100.91,4.88
2009-07-21,1848.62,173.73,3.75,86.01,3.67,53.78,3.87,99.52,4.76
2009-07-22,1872.91,175.77,3.79,87.01,3.73,54.42,3.86,101.23,4.83
2009-07-23,1891.35,177.2,3.82,87.12,3.76,54.25,3.92,99.23,4.89
2009-07-24,1868.8,175.13,3.78,85.82,3.73,53.44,3.84,94.73,4.82
2009-07-27,1906.23,178.96,3.86,87.5,3.81,55.76,3.87,96.8,4.91
2009-07-28,1952.76,183.66,3.94,89.85,3.9,56.87,4.18,106.42,5.03
2009-07-29,1831.17,176.73,3.71,85.51,3.66,42.57,3.93,92.21,4.68
2009-07-30,1891.81,180.74,3.82,89.62,3.77,45.87,3.97,95.9,4.81
2009-07-31,1943.11,185.13,3.91,91.65,3.88,45.97,4.11,99.36,4.93
2009-08-03,1974.58,184.65,3.97,92.17,3.94,48.27,4.12,102.25,5.0
2009-08-04,1981.46,184.73,3.98,92.22,3.98,49.86,4.06,105.84,5.03
2009-08-05,1979.48,184.44,3.97,92.25,3.97,49.81,4.1,104.84,5.04
2009-08-06,1948.38,182.26,3.92,91.21,3.92,48.06,4.0,100.73,4.98
2009-08-07,1886.61,176.08,3.79,89.13,3.79,45.87,4.04,98.32,4.81
2009-08-10,1898.46,172.24,3.79,89.34,3.82,45.97,4.09,-35.03,4.83
2009-08-11,1916.46,173.17,3.84,89.87,3.86,46.26,4.14,-45.92,4.88
2009-08-12,1807.55,161.99,3.6,84.75,3.64,42.98,3.99,-54.6,4.59
2009-08-13,1801.81,162.95,3.59,84.64,3.62,43.11,3.86,-44.05,4.56
2009-08-14,1706.96,153.47,3.39,80.17,3.42,41.31,3.68,-46.09,4.31
2009-08-17,1591.96,187.49,3.17,74.18,3.19,43.22,3.31,-18.34,4.03
2009-08-18,1619.59,191.16,3.24,75.69,3.25,43.47,3.39,-13.41,4.1
2009-08-19,1533.7,181.03,3.07,72.38,3.06,41.05,3.38,-7.72,3.89
2009-08-20,1591.61,209.46,3.19,73.79,3.18,41.05,3.52,-30.46,4.02
2009-08-21,1644.77,213.06,3.29,75.72,3.28,44.56,3.61,88.4,4.17
2009-08-24,1675.04,225.7,3.36,77.35,3.36,46.15,3.64,89.65,4.26
2009-08-25,1689.34,405.95,3.38,78.0,3.35,46.39,3.54,89.39,4.28
2009-08-26,1738.6,421.99,3.49,80.69,3.47,48.22,3.72,93.48,4.41
2009-08-27,1753.96,380.66,3.56,80.24,3.57,49.19,3.78,90.38,4.58
2009-08-28,1700.34,341.82,3.41,76.59,3.42,48.04,3.56,82.06,4.39
2009-08-31,1596.97,344.1,3.19,71.58,3.19,42.57,3.31,46.72,4.11
