,price,pe1,pb1,pe2,pb2,pe3,pb3,pe4,pb4
2007-01-15,1986.54,48.41,2.53,41.51,2.28,36.02,2.55,44.97,2.96
2007-01-16,2055.02,50.11,2.62,42.81,2.34,37.09,2.62,46.26,3.05
2007-01-17,2035.65,49.66,2.59,42.26,2.32,37.12,2.6,46.62,3.01
2007-01-18,2085.4,50.74,2.65,43.26,2.38,38.71,2.67,48.25,3.09
2007-01-19,2159.64,52.52,2.74,44.83,2.46,39.56,2.76,50.33,3.2
2007-01-22,2258.99,54.93,2.87,46.89,2.58,41.19,2.88,52.38,3.34
2007-01-23,2261.78,54.95,2.87,46.94,2.6,40.76,2.87,52.58,3.35
2007-01-24,2283.7,55.54,2.9,47.41,2.63,41.04,2.9,53.73,3.37
2007-01-25,2174.24,52.98,2.76,45.06,2.49,39.21,2.77,51.35,3.21
2007-01-26,2186.27,53.01,2.78,45.06,2.49,38.94,2.78,51.19,3.23
2007-01-29,2260.6,54.81,2.87,46.69,2.59,40.24,2.86,53.28,3.34
2007-01-30,2255.94,54.64,2.87,46.52,2.59,39.45,2.86,53.32,3.34
2007-01-31,2142.89,51.9,2.72,44.24,2.46,38.26,2.75,50.66,3.17
2007-02-01,2165.41,52.35,2.75,44.71,2.49,38.35,2.78,50.85,3.2
2007-02-02,2127.1,51.34,2.7,43.85,2.45,37.72,2.72,50.42,3.15
2007-02-05,2152.25,51.89,2.73,44.43,2.48,38.37,2.77,51.49,3.19
2007-02-06,2198.24,53.01,2.78,45.48,2.54,39.79,2.84,52.74,3.26
2007-02-07,2237.94,53.99,2.84,46.16,2.58,40.13,2.89,53.75,3.31
2007-02-08,2278.45,55.01,2.89,47.09,2.62,40.62,2.95,55.07,3.37
2007-02-09,2287.38,55.18,2.9,47.17,2.63,40.8,2.93,54.86,3.37
2007-02-12,2341.07,56.5,2.96,48.37,2.69,41.76,2.99,55.89,3.45
2007-02-13,2384.16,57.58,3.02,49.29,2.74,42.43,3.04,57.41,3.51
2007-02-14,2435.96,58.85,3.08,50.42,2.8,43.37,3.13,58.27,3.58
2007-02-15,2512.4,60.64,3.18,51.82,2.88,44.75,3.21,59.98,3.68
2007-02-16,2541.41,61.31,3.21,52.31,2.92,45.06,3.21,60.69,3.72
2007-02-26,2642.11,63.7,3.34,54.45,3.06,46.91,3.36,62.94,3.86
