cal_date,price,pe1,pb1,pe2,pb2,pe3,pb3,pe4,pb4
20201201,952.1394,24.55,1.95,28.91,2.05,30.22,1.89,42.27,2.61
20201202,951.0144,24.55,1.95,29.04,2.06,30.94,1.89,42.59,2.66
20201203,952.9409,24.56,1.95,29.09,2.07,31.24,1.94,42.83,2.65
20201204,936.9103,24.19,1.92,28.68,2.04,30.72,1.89,42.34,2.64
20201207,920.3423,23.71,1.88,28.09,2.0,30.06,1.84,41.45,2.59
