,price,pe1,pb1,pe2,pb2,pe3,pb3,pe4,pb4
2009-07-03,3215.62,51.94,3.64,46.63,3.32,35.63,3.67,59.76,3.95
2009-07-06,3235.42,52.32,3.66,46.91,3.33,35.32,3.64,59.81,3.96
2009-07-07,3248.99,52.73,3.69,47.22,3.35,35.97,3.64,58.43,3.98
2009-07-08,3275.0,53.22,3.73,47.69,3.39,37.18,3.69,59.66,4.02
2009-07-09,3362.82,54.96,3.85,48.96,3.48,38.09,3.78,59.92,4.12
2009-07-10,3393.02,55.37,3.88,49.3,3.5,38.19,3.82,60.16,4.14
2009-07-13,3411.42,55.58,3.89,49.68,3.53,37.88,3.87,60.2,4.18
2009-07-14,3469.46,56.6,3.96,50.41,3.58,38.15,3.9,61.52,4.24
2009-07-15,3483.05,57.06,3.99,50.8,3.6,39.19,3.98,62.83,4.25
2009-07-16,3450.35,56.49,3.95,50.4,3.58,38.74,3.94,62.55,4.23
2009-07-17,3451.49,56.42,3.94,50.55,3.6,39.46,3.99,62.64,4.26
2009-07-20,3515.44,57.45,4.01,51.3,3.65,39.33,4.09,62.75,4.32
2009-07-21,3423.51,55.52,3.89,49.77,3.54,37.48,3.96,60.77,4.2
2009-07-22,3465.19,56.22,3.94,50.29,3.58,37.7,3.99,61.27,4.26
2009-07-23,3495.83,56.75,3.98,50.6,3.61,38.34,4.0,61.81,4.27
2009-07-24,3460.28,56.14,3.93,49.94,3.56,37.86,3.99,60.71,4.22
2009-07-27,3507.49,56.89,3.98,50.91,3.62,37.61,4.02,61.52,4.28
2009-07-28,3533.27,57.18,4.01,51.35,3.68,38.29,4.09,62.25,4.32
2009-07-29,3339.66,54.23,3.8,48.43,3.47,36.67,3.81,57.64,4.07
2009-07-30,3360.63,54.78,3.84,49.2,3.51,37.13,3.96,57.7,4.12
2009-07-31,3450.62,55.72,3.93,50.48,3.6,37.83,4.05,64.3,4.22
2009-08-03,3481.25,55.88,3.95,51.24,3.66,38.6,4.11,77.88,4.28
2009-08-04,3517.63,56.42,3.99,51.72,3.69,39.86,4.14,77.9,4.31
2009-08-05,3534.05,56.56,4.0,52.1,3.72,39.84,4.14,79.35,4.35
2009-08-06,3506.66,56.01,3.96,51.6,3.68,39.73,4.12,78.17,4.31
2009-08-07,3402.51,54.36,3.84,50.3,3.57,37.35,4.0,67.04,4.19
2009-08-10,3431.16,54.96,3.86,50.88,3.61,37.63,4.04,67.52,4.24
2009-08-11,3467.78,54.84,3.89,50.78,3.62,38.11,4.05,67.57,4.25
2009-08-12,3320.19,52.52,3.69,48.24,3.44,35.8,3.82,63.29,4.02
2009-08-13,3325.02,52.67,3.7,48.28,3.44,35.47,3.87,63.88,4.02
2009-08-14,3190.08,50.38,3.56,45.78,3.27,33.84,3.62,60.12,3.83
2009-08-17,3001.52,47.2,3.34,43.15,3.06,32.16,3.4,58.07,3.59
2009-08-18,3053.56,47.92,3.39,44.12,3.12,32.69,3.47,58.52,3.65
2009-08-19,2917.27,45.91,3.23,42.22,2.96,31.1,3.29,61.19,3.47
