Field,Desc
pb_y5_ew_maxv,PB_5年_等权法_最大值
pb_y5_ew_minv,PB_5年_等权法_最小值
pb_y5_ew_q2v,PB_5年_等权法_20%分位点
pb_y5_ew_q5v,PB_5年_等权法_50%分位点
pb_y5_ew_q8v,PB_5年_等权法_80%分位点
pb_y5_ewpvo_avgv,PB_5年_正数等权法_平均值
pb_y5_ewpvo_cv,PB_5年_正数等权法_当前值
pb_y5_ewpvo_cvpos,PB_5年_正数等权法_当前分为点
pb_y5_ewpvo_maxpv,PB_5年_正数等权法_最大正值
pb_y5_ewpvo_maxv,PB_5年_正数等权法_最大值
pb_y5_ewpvo_minv,PB_5年_正数等权法_最小值
pb_y5_ewpvo_q2v,PB_5年_正数等权法_20%分位点
pb_y5_ewpvo_q5v,PB_5年_正数等权法_50%分位点
pb_y5_ewpvo_q8v,PB_5年_正数等权法_80%分位点
pb_y5_mcw_avgv,PB_5年_加权法_平均值
pb_y5_mcw_cv,PB_5年_加权法_当前值
pb_y5_mcw_cvpos,PB_5年_加权法_当前分为点
pb_y5_mcw_maxpv,PB_5年_加权法_最大正值
pb_y5_mcw_maxv,PB_5年_加权法_最大值
pb_y5_mcw_minv,PB_5年_加权法_最小值
pb_y5_mcw_q2v,PB_5年_加权法_20%分位点
pb_y5_mcw_q5v,PB_5年_加权法_50%分位点
pb_y5_mcw_q8v,PB_5年_加权法_80%分位点
pb_y5_median_avgv,PB_5年_中位数_平均值
pb_y5_median_cv,PB_5年_中位数_当前值
pb_y5_median_cvpos,PB_5年_中位数_当前分为点
pb_y5_median_maxpv,PB_5年_中位数_最大正值
pb_y5_median_maxv,PB_5年_中位数_最大值
pb_y5_median_minv,PB_5年_中位数_最小值
pb_y5_median_q2v,PB_5年_中位数_20%分位点
pb_y5_median_q5v,PB_5年_中位数_50%分位点
pb_y5_median_q8v,PB_5年_中位数_80%分位点
pe_ttm_avg,PE_平均值法
pe_ttm_ew,PE_等权法
pe_ttm_ewpvo,PE_正数等权法
pe_ttm_fs_avg_avgv,PE_所有时间_平均值法_平均值
pe_ttm_fs_avg_cv,PE_所有时间_平均值法_当前值
pe_ttm_fs_avg_cvpos,PE_所有时间_平均值法_当前分为点
pe_ttm_fs_avg_maxpv,PE_所有时间_平均值法_最大正值
pe_ttm_fs_avg_maxv,PE_所有时间_平均值法_最大值
pe_ttm_fs_avg_minv,PE_所有时间_平均值法_最小值
pe_ttm_fs_avg_q2v,PE_所有时间_平均值法_20%分位点
pe_ttm_fs_avg_q5v,PE_所有时间_平均值法_50%分位点
pe_ttm_fs_avg_q8v,PE_所有时间_平均值法_80%分位点
pe_ttm_fs_ew_avgv,PE_所有时间_等权法_平均值
pe_ttm_fs_ew_cv,PE_所有时间_等权法_当前值
pe_ttm_fs_ew_cvpos,PE_所有时间_等权法_当前分为点
pe_ttm_fs_ew_maxpv,PE_所有时间_等权法_最大正值
pe_ttm_fs_ew_maxv,PE_所有时间_等权法_最大值
pe_ttm_fs_ew_minv,PE_所有时间_等权法_最小值
pe_ttm_fs_ew_q2v,PE_所有时间_等权法_20%分位点
pe_ttm_fs_ew_q5v,PE_所有时间_等权法_50%分位点
pe_ttm_fs_ew_q8v,PE_所有时间_等权法_80%分位点
pe_ttm_fs_ewpvo_avgv,PE_所有时间_正数等权法_平均值
pe_ttm_fs_ewpvo_cv,PE_所有时间_正数等权法_当前值
pe_ttm_fs_ewpvo_cvpos,PE_所有时间_正数等权法_当前分为点
pe_ttm_fs_ewpvo_maxpv,PE_所有时间_正数等权法_最大正值
pe_ttm_fs_ewpvo_maxv,PE_所有时间_正数等权法_最大值
pe_ttm_fs_ewpvo_minv,PE_所有时间_正数等权法_最小值
pe_ttm_fs_ewpvo_q2v,PE_所有时间_正数等权法_20%分位点
pe_ttm_fs_ewpvo_q5v,PE_所有时间_正数等权法_50%分位点
pe_ttm_fs_ewpvo_q8v,PE_所有时间_正数等权法_80%分位点
pe_ttm_fs_mcw_avgv,PE_所有时间_加权法_平均值
pe_ttm_fs_mcw_cv,PE_所有时间_加权法_当前值
pe_ttm_fs_mcw_cvpos,PE_所有时间_加权法_当前分为点
pe_ttm_fs_mcw_maxpv,PE_所有时间_加权法_最大正值
pe_ttm_fs_mcw_maxv,PE_所有时间_加权法_最大值
pe_ttm_fs_mcw_minv,PE_所有时间_加权法_最小值
