字段,释意
pe_ttm_y10_ew_minv,
pe_ttm_y10_ew_q2v,
pe_ttm_y10_ew_q5v,
pe_ttm_y10_ew_q8v,
pe_ttm_y10_ewpvo_avgv,
pe_ttm_y10_ewpvo_cv,
pe_ttm_y10_ewpvo_cvpos,
pe_ttm_y10_ewpvo_maxpv,
pe_ttm_y10_ewpvo_maxv,
pe_ttm_y10_ewpvo_minv,
pe_ttm_y10_ewpvo_q2v,
pe_ttm_y10_ewpvo_q5v,
pe_ttm_y10_ewpvo_q8v,
pe_ttm_y10_mcw_avgv,
pe_ttm_y10_mcw_cv,
pe_ttm_y10_mcw_cvpos,
pe_ttm_y10_mcw_maxpv,
pe_ttm_y10_mcw_maxv,
pe_ttm_y10_mcw_minv,
pe_ttm_y10_mcw_q2v,
pe_ttm_y10_mcw_q5v,
pe_ttm_y10_mcw_q8v,
pe_ttm_y10_median_avgv,
pe_ttm_y10_median_cv,
pe_ttm_y10_median_cvpos,
pe_ttm_y10_median_maxpv,
pe_ttm_y10_median_maxv,
pe_ttm_y10_median_minv,
pe_ttm_y10_median_q2v,
pe_ttm_y10_median_q5v,
pe_ttm_y10_median_q8v,
pe_ttm_y5_avg_avgv,
pe_ttm_y5_avg_cv,
pe_ttm_y5_avg_cvpos,
pe_ttm_y5_avg_maxpv,
pe_ttm_y5_avg_maxv,
pe_ttm_y5_avg_minv,
pe_ttm_y5_avg_q2v,
pe_ttm_y5_avg_q5v,
pe_ttm_y5_avg_q8v,
pe_ttm_y5_ew_avgv,
pe_ttm_y5_ew_cv,
pe_ttm_y5_ew_cvpos,
pe_ttm_y5_ew_maxpv,
pe_ttm_y5_ew_maxv,
pe_ttm_y5_ew_minv,
pe_ttm_y5_ew_q2v,
pe_ttm_y5_ew_q5v,
pe_ttm_y5_ew_q8v,
pe_ttm_y5_ewpvo_avgv,
pe_ttm_y5_ewpvo_cv,
pe_ttm_y5_ewpvo_cvpos,
pe_ttm_y5_ewpvo_maxpv,
pe_ttm_y5_ewpvo_maxv,
pe_ttm_y5_ewpvo_minv,
pe_ttm_y5_ewpvo_q2v,
pe_ttm_y5_ewpvo_q5v,
pe_ttm_y5_ewpvo_q8v,
pe_ttm_y5_mcw_avgv,
pe_ttm_y5_mcw_cv,
pe_ttm_y5_mcw_cvpos,
pe_ttm_y5_mcw_maxpv,
pe_ttm_y5_mcw_maxv,
pe_ttm_y5_mcw_minv,
pe_ttm_y5_mcw_q2v,
pe_ttm_y5_mcw_q5v,
pe_ttm_y5_mcw_q8v,
pe_ttm_y5_median_avgv,
pe_ttm_y5_median_cv,
pe_ttm_y5_median_cvpos,
pe_ttm_y5_median_maxpv,
pe_ttm_y5_median_maxv,
pe_ttm_y5_median_minv,
pe_ttm_y5_median_q2v,
pe_ttm_y5_median_q5v,
pe_ttm_y5_median_q8v,
stockCode,
