,price,pe1,pb1,pe2,pb2,pe3,pb3,pe4,pb4
2011-08-02,5902.07,36.98,4.97,42.23,4.54,40.6,4.89,47.95,5.83
2011-08-03,5908.3,37.09,4.99,42.36,4.55,41.35,4.91,48.05,5.86
2011-08-04,5908.53,37.06,4.98,42.33,4.55,41.02,4.98,48.07,5.86
2011-08-05,5838.31,36.58,4.92,41.61,4.46,41.45,4.89,47.33,5.77
2011-08-08,5624.01,35.06,4.72,39.58,4.21,39.86,4.74,44.88,5.49
2011-08-09,5609.24,34.96,4.7,39.35,4.18,39.58,4.68,44.29,5.46
2011-08-10,5669.94,35.39,4.76,39.85,4.24,39.87,4.75,44.98,5.55
2011-08-11,5836.24,36.36,4.89,40.84,4.34,40.5,4.84,46.11,5.69
2011-08-12,5894.61,36.79,4.94,41.27,4.39,41.03,4.89,47.28,5.75
2011-08-15,5954.0,37.14,4.98,41.84,4.45,41.45,5.01,47.87,5.8
2011-08-16,5889.4,36.66,4.91,41.3,4.41,41.35,4.95,47.16,5.74
2011-08-17,5855.87,36.45,4.88,41.05,4.39,41.28,4.87,46.94,5.68
2011-08-18,5755.6,35.82,4.79,40.27,4.31,40.42,4.78,46.3,5.58
2011-08-19,5737.48,35.77,4.78,40.18,4.28,40.72,4.7,45.95,5.55
2011-08-22,5649.09,35.37,4.7,39.89,4.23,40.31,4.66,46.39,5.41
2011-08-23,5713.88,35.63,4.74,40.31,4.28,40.45,4.75,47.08,5.46
2011-08-24,5735.47,35.63,4.75,40.46,4.29,40.89,4.75,47.12,5.48
2011-08-25,5825.74,36.04,4.81,41.09,4.37,40.8,4.81,47.85,5.55
2011-08-26,5841.67,35.58,4.8,40.98,4.38,41.28,4.94,48.2,5.53
2011-08-29,5836.5,35.64,4.79,40.98,4.36,41.32,4.93,49.45,5.54
2011-08-30,5773.47,35.32,4.73,40.55,4.3,41.01,4.76,48.88,5.47
2011-08-31,5754.99,34.99,4.7,40.09,4.28,41.01,4.72,47.42,5.44
2011-09-01,5699.31,34.68,4.66,39.74,4.25,40.62,4.69,47.13,5.4
2011-09-02,5630.22,34.32,4.61,39.37,4.21,40.33,4.7,46.49,5.35
2011-09-05,5505.53,33.56,4.51,38.43,4.1,39.28,4.61,45.29,5.24
2011-09-06,5454.3,33.23,4.47,38.04,4.07,39.0,4.55,44.81,5.18
2011-09-07,5543.54,33.85,4.55,38.85,4.16,39.77,4.6,45.83,5.25
2011-09-08,5536.36,33.81,4.54,38.79,4.15,39.6,4.6,45.58,5.26
2011-09-09,5476.37,33.49,4.5,38.38,4.11,39.39,4.55,45.06,5.19
2011-09-13,5374.21,32.86,4.42,37.65,4.04,38.89,4.45,44.18,5.08
2011-09-14,5410.92,33.1,4.45,37.99,4.08,39.05,4.47,44.66,5.13
2011-09-15,5410.23,33.09,4.45,38.02,4.08,38.63,4.51,44.76,5.13
2011-09-16,5409.45,33.08,4.45,37.99,4.08,38.86,4.46,44.66,5.12
2011-09-19,5332.61,32.58,4.38,37.37,4.02,38.18,4.41,43.96,5.05
2011-09-20,5348.15,32.66,4.39,37.49,4.02,37.94,4.46,44.07,5.06
2011-09-21,5486.21,33.49,4.5,38.48,4.12,38.99,4.52,45.19,5.2
2011-09-22,5324.32,32.51,4.37,37.36,3.99,37.96,4.4,43.73,5.04
2011-09-23,5276.56,32.22,4.33,37.06,3.96,37.89,4.36,43.36,5.0
2011-09-26,5177.33,31.64,4.25,36.46,3.9,36.9,4.3,42.66,4.91
2011-09-27,5181.67,31.68,4.26,36.49,3.91,37.13,4.31,42.76,4.92
2011-09-28,5110.21,31.26,4.2,36.03,3.86,36.77,4.23,42.1,4.84
2011-09-29,4986.63,30.5,4.1,35.05,3.74,35.8,4.1,40.89,4.69
2011-09-30,4984.52,30.52,4.1,35.03,3.74,35.73,4.14,40.82,4.69
2011-10-10,4987.45,30.5,4.1,34.95,3.73,35.05,4.17,40.8,4.68
2011-10-11,4967.91,30.37,4.08,34.85,3.73,34.92,4.12,40.71,4.68
2011-10-12,5124.87,31.3,4.21,36.0,3.85,36.31,4.26,41.9,4.83
2011-10-13,5184.08,31.66,4.26,36.43,3.89,36.56,4.33,42.37,4.9
2011-10-14,5146.69,31.45,4.23,36.19,3.87,36.37,4.34,42.22,4.87
2011-10-17,5147.59,31.43,4.22,36.21,3.87,36.53,4.33,42.2,4.87
2011-10-18,5013.41,30.53,4.11,35.09,3.75,35.29,4.22,40.99,4.76
2011-10-19,4994.11,30.65,4.1,35.01,3.73,35.1,4.23,40.87,4.74
2011-10-20,4865.22,29.8,3.99,34.01,3.61,33.77,4.15,39.66,4.61
2011-10-21,4816.24,29.71,3.94,33.65,3.56,33.48,4.07,39.48,4.54
