,price,pe1,pb1,pe2,pb2,pe3,pb3,pe4,pb4
2011-08-02,3020.87,53.44,4.26,50.41,4.11,49.76,4.41,68.76,5.08
2011-08-03,3036.24,53.81,4.29,50.89,4.15,50.69,4.42,69.14,5.12
2011-08-04,3040.86,53.74,4.29,50.8,4.15,49.86,4.41,69.33,5.11
2011-08-05,2982.66,52.77,4.21,49.73,4.05,48.98,4.29,68.09,5.01
2011-08-08,2834.72,49.66,4.0,46.98,3.81,45.85,4.05,63.69,4.75
2011-08-09,2839.91,49.69,3.99,46.85,3.79,45.69,4.06,63.71,4.75
2011-08-10,2890.75,50.59,4.06,47.71,3.85,46.76,4.11,64.63,4.83
2011-08-11,2928.47,51.33,4.12,48.45,3.91,47.27,4.16,65.42,4.9
2011-08-12,2979.45,52.21,4.19,49.24,3.98,48.07,4.26,66.44,4.99
2011-08-15,3025.74,53.07,4.26,50.18,4.05,48.8,4.35,67.68,5.09
2011-08-16,2997.07,52.11,4.21,49.68,4.01,48.6,4.26,68.22,5.05
2011-08-17,2984.15,51.74,4.19,49.55,4.01,48.38,4.21,68.0,5.05
2011-08-18,2938.26,50.39,4.11,48.39,3.94,47.65,4.17,67.07,4.96
2011-08-19,2915.6,49.98,4.08,47.98,3.91,48.26,4.15,66.49,4.92
2011-08-22,2884.3,49.54,4.04,47.78,3.9,46.72,4.09,66.29,4.88
2011-08-23,2943.67,50.51,4.11,48.84,3.98,49.02,4.17,69.0,4.97
2011-08-24,2963.11,50.75,4.14,48.98,4.0,48.74,4.19,67.09,5.0
2011-08-25,3001.0,51.44,4.19,49.65,4.05,49.28,4.23,67.98,5.05
2011-08-26,3014.51,51.61,4.2,49.78,4.06,49.91,4.22,68.48,5.06
2011-08-29,2998.5,50.9,4.17,49.18,4.03,49.16,4.13,68.39,5.02
2011-08-30,2963.09,51.03,4.12,48.65,3.97,48.41,4.07,68.01,4.96
2011-08-31,2933.64,50.64,4.08,48.17,3.93,47.81,4.05,67.41,4.9
2011-09-01,2916.02,50.34,4.06,48.01,3.92,47.4,4.05,67.03,4.88
2011-09-02,2895.0,49.96,4.03,47.59,3.88,47.42,3.97,66.46,4.85
2011-09-05,2818.29,48.66,3.91,46.37,3.77,45.83,3.86,64.57,4.73
2011-09-06,2795.73,48.23,3.88,45.84,3.73,45.36,3.77,63.95,4.68
2011-09-07,2862.31,49.4,3.97,47.03,3.83,46.93,3.89,65.69,4.8
2011-09-08,2838.9,49.02,3.94,46.56,3.79,45.87,3.87,65.24,4.76
2011-09-09,2818.4,48.68,3.92,46.21,3.77,45.99,3.82,65.06,4.74
2011-09-13,2768.86,47.82,3.85,45.45,3.71,44.6,3.71,63.74,4.65
2011-09-14,2798.53,48.34,3.89,46.02,3.76,45.08,3.76,64.89,4.7
