,price,pe1,pb1,pe2,pb2,pe3,pb3,pe4,pb4
2014-06-06,5328.32,19.92,2.49,27.14,3.24,32.21,3.99,47.39,5.07
2014-06-09,5311.37,19.97,2.5,27.11,3.24,32.35,3.98,46.82,5.05
2014-06-10,5366.74,20.21,2.53,27.41,3.27,32.51,4.02,47.25,5.09
2014-06-11,5391.79,20.22,2.53,27.5,3.28,32.64,4.06,47.51,5.12
2014-06-12,5397.59,20.17,2.53,27.4,3.27,33.16,3.97,47.51,5.14
2014-06-13,5423.95,20.35,2.56,27.54,3.29,33.05,4.01,47.68,5.17
2014-06-16,5436.35,20.67,2.63,27.2,3.46,33.54,4.43,51.5,5.39
2014-06-17,5386.07,20.44,2.6,26.96,3.43,32.72,4.49,51.12,5.36
2014-06-18,5347.98,20.28,2.58,26.77,3.41,32.72,4.46,50.8,5.33
2014-06-19,5230.46,19.93,2.53,26.22,3.34,32.47,4.35,50.82,5.23
2014-06-20,5253.68,20.04,2.55,26.36,3.35,32.34,4.37,51.32,5.22
2014-06-23,5296.79,20.04,2.55,26.47,3.37,32.33,4.37,52.91,5.29
2014-06-24,5341.67,20.19,2.56,26.73,3.4,32.76,4.32,53.49,5.34
2014-06-25,5324.55,20.03,2.54,26.63,3.38,32.83,4.31,53.1,5.32
2014-06-26,5379.83,20.18,2.56,26.9,3.42,32.81,4.32,53.98,5.38
2014-06-27,5385.81,20.11,2.56,26.93,3.42,32.94,4.35,53.57,5.38
2014-06-30,5423.58,20.26,2.58,27.16,3.46,33.18,4.54,53.35,5.4
2014-07-01,5453.72,20.29,2.59,27.24,3.47,32.89,4.51,53.87,5.43
2014-07-02,5476.26,20.36,2.6,27.39,3.49,32.69,4.49,53.73,5.43
2014-07-03,5520.96,20.47,2.61,27.61,3.52,33.05,4.53,53.85,5.49
2014-07-04,5513.99,20.51,2.61,27.59,3.52,32.53,4.5,53.88,5.47
2014-07-07,5470.04,20.45,2.61,27.38,3.49,32.16,4.54,53.86,5.43
2014-07-08,5481.33,20.47,2.61,27.44,3.5,31.9,4.48,53.69,5.44
2014-07-09,5383.73,20.13,2.57,26.98,3.44,31.18,4.48,52.52,5.34
2014-07-10,5360.16,20.0,2.55,26.9,3.43,30.78,4.36,51.54,5.3
2014-07-11,5368.2,20.03,2.55,26.97,3.45,31.12,4.37,51.42,5.3
2014-07-14,5415.48,20.23,2.58,27.24,3.48,31.46,4.38,52.28,5.33
2014-07-15,5421.54,20.24,2.58,27.3,3.48,31.26,4.47,52.53,5.33
2014-07-16,5366.26,20.11,2.56,27.15,3.45,31.15,4.4,51.75,5.26
2014-07-17,5315.27,19.95,2.54,26.94,3.43,30.83,4.32,51.17,5.21
2014-07-18,5315.36,19.96,2.54,26.98,3.43,30.72,4.39,51.43,5.19
